Impressão de campos da consulta;;;;;;;;Página: 1;

3204;;Valor transferência de mercadorias;;Não;
3220;;Valor compensado ref. cheque nº;;Não;
3255;;Valor pago CF nº.;;Não;
3263;;Receita de doação em depósito c/c;;Não;
3271;;Valor de depreciação anual;;Sim;
3280;;Valor recebido clientes carteira cfe relação;;Não;
3298;;Valor de adiantamento salarial;;Não;
3301;;Valor saque caixa;;Sim;
3310;;Valor recebido ref. vales;;Sim;
3328;;Valor venda cartão crédito/débito;;Sim;
3336;;Recebimento parcela cfe livro reg. dupl. nº;;Não;
3344;SER;Valor serviços cfe NF nº;;Não;
3352;;Valor ref. pagamento NF de serviços nº;;Não;
3360;;Valor transferência ordens de fretes;;Não;
3379;;Valor recebido cfe ordens de frete;;Não;
3387;ECF;Valor ref. CF nº.;;Não;
3409;;Serviços a vista cfe NF nº;;Sim;
3417;;Valor de adiantamento 13º salário;;Não;
3420;;Valor ref. pagamento 1ª. parcela 13º salário;;Não;
3425;;Valor ref. pagamento 2ª. parcela 13º salário;;Não;
3433;MEDIC;Exames médicos ref.:;;Não;
3441;;Valor ref. pagamento NF cfe relação;;Sim;
3442;PG;Pagamento *D ref. *N;;Não;
3450;;Valor transferência entre as contas ref. venda;;Não;
3476;;Valor ref. pagamento cfe borderô de cobrança nº;;Não;
3484;;Valor ref. reembolso INSS sobre 13º salário;;Não;
3492;;Valor retido IRF sobre 13º salário;;Não;
3506;;Valor ref. NFe nº.;;Não;
3507;;Valor ref. NF n°.;;Não;
3510;;Valor ref. pagamento NFe nº;;Não;
3511;;Valor ref. pagamento NF n°;;Não;
3514;IIPGR;Imposto importação a pagar ref.:;;Não;
3515;;NF-e nº;;Não;
3522;;Valor ref. recebimento cheque cfe contrato;;Não;
3530;;Valor ref. recebimento duplicata cfe contrato;;Não;
3555;;Valor ref. ICMS substituição tributária;;Não;
3573;;Crédito Rede Master;;Não;

SCI Ambiente Contábil ÚNICO;;;;
Impressão de campos da consulta;;;;;;;;Página: 10;

Código;Apelido;Nome;;Pula complemento;
3581;;Crédito Rede Shop;;Não;
3603;;Crédito Sodexho;;Não;
3620;;Crédito Visa Electron/Cielo;;Não;
3638;DT;Débito título;;Não;
3662;PT;Pagamento título nº;;Não;
3665;Ref.;Ref.;;Não;
3666;alug rec;Alugueis a receber ref. mes;;Não;
3667;pis pg;Pis a Pagar ref.;;Não;
3668;Compis;Compensação de Pis ref.:;;Não;
3669;Compcof;Compensação de Cofins ref.:;;Não;
3670;;Contribuição Previdênciaria ref.;;Não;
3671;Aplic;Aplicação financeira nesta data.;;Não;
3672;Resgate;Resgate aplicação financeira nesta data.;;Não;
3673;;Adiantamento de clientes:;;Não;
3674;Apuração;Apuração do Resultado do Exercicio:;;Não;
3675;resultado;Resultado do Exercicio:;;Não;
3676;Direitos;Receita de Direitos Autorais n/ mês;;Não;
3677;ISSPG;Pagto ISSQN n/ mês;;Não;
3678;IRPJPG;Pagto IRPJ ref.;;Não;
3679;CSLLPG;Pagto CSLL ref.;;Não;
3680;Ajudadecusto;Ajuda de Custo;;Não;
3681;PagEmpsoc;Pagamento de Empréstimo ao Sócio;;Não;
3682;PagtoPisCofinscsll;Pagamento Pis, Cofins e CSLL ref. NF;;Não;
3683;pagtotfe;Pagamento TFE ref. Exercicio:;;Não;
3684;Tfeexe;TFE ref. Exercicio:;;Não;
3685;PagCond;Pagamento de Condominio no mês;;Não;
3686;pagagua;Pagamento de Conta de Agua no mês;;Não;
3687;pagalug;Pagamento de Aluguel no mês;;Não;
3688;pagcorr;Pagamento de Despesas de Correio no mês;;Não;
3689;pagadsal;Pagamento de Adiantamento salarial do mês;;Não;
3690;apropseg;Apropriação de seguros no mês;;Não;
3691;Gás;Pagamento de Gás ref.;;Não;
3692;Internet;Pagamento de Internet ref.;;Não;
3693;adtosoc;Pagamento de Adiantamento a sócios ref.;;Não;
3694;devadtosoc;Devolução de Adiantamento a sócios ref.;;Não;
3695;Taxadmcnt;Taxa Administração de Conta ref.;;Não;
3696;intecap;Capital Social a Integralizar Conf. Contrato Social;;Não;
3697;RECEBJUROS;Recebimento de juros de clientes cfe NF nº;;Não;
3698;iofaplic;Pagamento de IOF s/ aplicação financeira ref.;;Não;
3699;;Pagamento de Associação de Classe ref.;;Não;
3700;;Pagamento de Vale Refeição;;Não;
3701;;Pagamento de Vale Alimentação;;Não;
3702;;Pagamento de Iptu ref.;;Não;
3703;;Pagamento de despesas com cartório ref.;;Não;

SCI Ambiente Contábil ÚNICO;;;;
Impressão de campos da consulta;;;;;;;;Página: 11;

Código;Apelido;Nome;;Pula complemento;
3704;;Compra de Material de Limpeza ref.;;Não;
3705;;Pagamento de serviços ref.;;Não;
3706;;Pagamento de adiantamento ref.;;Não;
3707;;Pagamento de Assistencia Médica ref.;;Não;
3708;;Pagamento em duplicidade ref.;;Não;
3709;;Pagamento IOF ref.;;Não;
3710;;Pagamento de ISS ref.;;Não;
3711;;Pagamento de Empréstimo Parc.;;Não;
3712;;Pagamento de Seguro ref.;;Não;
3713;;Reembolso de Despesas conf. ND nº;;Não;
3714;;Adto. p/Futuro Aumento de Capital ref.;;Não;
3715;;Apropriação do Resultado do exercicio:;;Não;
3716;;Adiantamento para Futuro Aumento de Capital em:;;Não;
3717;;Venda de sucatas de equipamentos e outros;;Não;
3718;;Receita de variação cambial;;Não;
3719;Pagamento de PCC;Pagamento de Pis/Cofins/CSLL ref.:;;Não;
3720;;Variação Cambial ref. NF:;;Não;
3721;;Recebimento de;;Não;
